GENEID,transcript count
ENSMUSG00000001864.14,8
ENSMUSG00000001865.3,1
ENSMUSG00000001870.17,6
ENSMUSG00000001891.17,4
ENSMUSG00000001901.16,3
ENSMUSG00000001909.17,25
ENSMUSG00000001910.6,5
ENSMUSG00000001911.17,7
ENSMUSG00000001918.18,4
ENSMUSG00000001924.16,6
ENSMUSG00000001930.18,7
ENSMUSG00000001942.9,5
ENSMUSG00000001943.9,6
ENSMUSG00000001946.15,5
ENSMUSG00000001948.11,3
ENSMUSG00000001962.9,2
ENSMUSG00000001964.15,6
ENSMUSG00000001983.8,1
ENSMUSG00000001985.10,1
ENSMUSG00000001986.17,8
ENSMUSG00000001988.10,4
ENSMUSG00000001995.10,3
ENSMUSG00000001998.16,7
ENSMUSG00000001999.16,5
ENSMUSG00000002006.13,2
ENSMUSG00000002007.6,3
ENSMUSG00000002010.18,8
ENSMUSG00000002012.14,5
ENSMUSG00000002014.13,8
ENSMUSG00000002015.6,1
ENSMUSG00000002017.11,5
ENSMUSG00000002020.16,5
ENSMUSG00000002028.14,6
ENSMUSG00000002031.14,15
ENSMUSG00000002032.18,8
ENSMUSG00000002043.18,7
ENSMUSG00000002052.7,2
ENSMUSG00000002055.10,6
ENSMUSG00000002058.14,5
ENSMUSG00000002059.19,7
ENSMUSG00000002064.11,3
ENSMUSG00000002068.17,4
ENSMUSG00000002076.13,5
ENSMUSG00000002083.14,2
ENSMUSG00000002100.16,3
ENSMUSG00000002102.16,10
ENSMUSG00000002103.17,7
ENSMUSG00000002104.12,4
ENSMUSG00000002105.16,7
ENSMUSG00000002107.19,28
ENSMUSG00000002108.11,7
ENSMUSG00000002109.15,5
ENSMUSG00000002111.9,2
ENSMUSG00000002129.12,3
ENSMUSG00000002147.19,4
ENSMUSG00000002190.14,2
ENSMUSG00000002204.10,3
ENSMUSG00000002205.17,10
ENSMUSG00000002210.12,6
ENSMUSG00000002221.12,4
ENSMUSG00000002222.15,5
ENSMUSG00000002227.16,7
ENSMUSG00000002228.8,2
ENSMUSG00000002233.14,4
ENSMUSG00000002249.22,4
ENSMUSG00000002250.17,8
ENSMUSG00000002257.9,6
ENSMUSG00000002265.18,4
ENSMUSG00000002266.18,3
ENSMUSG00000002274.14,7
ENSMUSG00000002279.20,10
ENSMUSG00000002280.12,8
ENSMUSG00000002289.17,2
ENSMUSG00000002297.17,2
ENSMUSG00000002307.17,8
ENSMUSG00000002308.17,4
ENSMUSG00000002319.17,11
